Index,Word,Kana,Meaning,Part of Speech,Example JP,Example EN,Jisho Link
2810,確率,かくりつ,"probability, rate",Noun,天気予報は当たる確率が高くなりましたね。,The chance that the weather forecast is right has increased.,http://jisho.org/search/%E7%A2%BA%E7%8E%87
2811,軽率,けいそつ,rash; thoughtless,Adjective,軽率な発言はしないよう気をつけなさい。,Take care not to make flippant remarks.,http://jisho.org/search/%E8%BB%BD%E7%8E%87
2812,おっしゃる,おっしゃる,say,Verb,あなたのおっしゃる通りです。,It is as you say.,http://jisho.org/search/%E3%81%8A%E3%81%A3%E3%81%97%E3%82%83%E3%82%8B
2813,機会,きかい,"opportunity, occasion",Noun,家族で話し合う機会を持ちました。,I set up an opportunity to have a discussion with the family.,http://jisho.org/search/%E6%A9%9F%E4%BC%9A
2814,危機,きき,"crisis, emergency",Noun,地球環境の危機が叫ばれているのよ。,There's an outcry over a world-wide environmental crisis.,http://jisho.org/search/%E5%8D%B1%E6%A9%9F
2815,機長,きちょう,airplane captain,Noun,機長の放送があったの。,There was an announcement from the captain.,http://jisho.org/search/%E6%A9%9F%E9%95%B7
2816,時機,じき,"opportunity, chance",Noun,あせらずに時機を待つべきです。,You should wait patiently for the right opportunity.,http://jisho.org/search/%E6%99%82%E6%A9%9F
2817,楽器,がっき,musical instrument,Noun,私が好きな楽器はギターです。,My favorite instrument is the guitar.,http://jisho.org/search/%E6%A5%BD%E5%99%A8
2818,食器,しょっき,"tableware, dinner set",Noun,食器を全部新しくしました。,I replaced all the tableware.,http://jisho.org/search/%E9%A3%9F%E5%99%A8
2819,器用,きよう,"skillful, clever",Adjectival Noun,彼はかなり器用な人です。,He is very good with his hands.,http://jisho.org/search/%E5%99%A8%E7%94%A8
2820,クラシック,クラシック,"classical music, the classics",Adjectival Noun,彼女はクラシック音楽が好きです。,She likes classical music.,http://jisho.org/search/%E3%82%AF%E3%83%A9%E3%82%B7%E3%83%83%E3%82%AF
2821,受話器,じゅわき,(telephone) receiver,Noun,受話器を取ってもらえますか。,Could you pick up the receiver?,http://jisho.org/search/%E5%8F%97%E8%A9%B1%E5%99%A8
2822,器,うつわ,bowl; container,Noun,この器は上等ね。,This dish is really top quality.,http://jisho.org/search/%E5%99%A8
2823,消火器,しょうかき,fire extinguisher,Noun,消火器を交換しました。,The fire extinguisher was replaced.,http://jisho.org/search/%E6%B6%88%E7%81%AB%E5%99%A8
2824,器械,きかい,machine; instrument,Noun,体育館で器械を使って運動したの。,I did exercise with machines in the gym.,http://jisho.org/search/%E5%99%A8%E6%A2%B0
2825,取材,しゅざい,"collection of data, gathering of news",Verbal Noun,テレビも取材に来たほど有名なレストランです。,The restaurant is so famous that the TV news ran a story on it.,http://jisho.org/search/%E5%8F%96%E6%9D%90
2826,材木,ざいもく,"timber, wood",Noun,船から材木が降ろされていますね。,Timber is being unloaded from the ship.,http://jisho.org/search/%E6%9D%90%E6%9C%A8
2827,具合,ぐあい,"condition, health",Noun,今日は体の具合が悪いです。,I feel unwell today.,http://jisho.org/search/%E5%85%B7%E5%90%88
2828,さっと,さっと,"quickly, suddenly",Adverb,こぼれた牛乳をさっと拭き取ったの。,I quickly wiped up the spilt milk.,http://jisho.org/search/%E3%81%95%E3%81%A3%E3%81%A8
2829,器具,きぐ,"utensil, implement",Noun,これはスポーツ施設用の器具です。,This is equipment for the sports facility.,http://jisho.org/search/%E5%99%A8%E5%85%B7
2830,家具,かぐ,furniture,Noun,部屋の家具を動かしました。,I moved the furniture in the room.,http://jisho.org/search/%E5%AE%B6%E5%85%B7
2831,雨具,あまぐ,"rain gear, rainwear",Noun,雨具の用意を忘れないように。,Don't forget to prepare your rainwear.,http://jisho.org/search/%E9%9B%A8%E5%85%B7
2832,基地,きち,"base, military base",Noun,ここは昔、軍事基地でした。,This used to be a military base.,http://jisho.org/search/%E5%9F%BA%E5%9C%B0
2833,水準,すいじゅん,"level, standard",Noun,今年の応募作品は水準が高かったね。,The standard of entries this year was high.,http://jisho.org/search/%E6%B0%B4%E6%BA%96
2834,基準,きじゅん,"standard, criterion",Noun,この建物は建築の基準に達していないよ。,This building doesn't meet the construction standards.,http://jisho.org/search/%E5%9F%BA%E6%BA%96
2835,準急,じゅんきゅう,local express train,Noun,新宿駅まで準急で行ったのよ。,I went to Tokyo Station by the local express.,http://jisho.org/search/%E6%BA%96%E6%80%A5
2836,設立,せつりつ,"establishment, foundation",Verbal Noun,当社は10年前に設立されたのよ。,Our company was established ten years ago.,http://jisho.org/search/%E8%A8%AD%E7%AB%8B
2837,キャンセル,キャンセル,cancellation,Verbal Noun,予約をキャンセルしたよ。,I canceled the reservation.,http://jisho.org/search/%E3%82%AD%E3%83%A3%E3%83%B3%E3%82%BB%E3%83%AB
2838,設備,せつび,"equipment, facilities",Verbal Noun,この研究所には最新の設備が揃っています。,This laboratory has the latest equipment.,http://jisho.org/search/%E8%A8%AD%E5%82%99
2839,説,せつ,"theory, opinion",Noun,私は彼の説が正しいと思う。,I think that his theory is correct.,http://jisho.org/search/%E8%AA%AC
2840,解説,かいせつ,"explanation, commentary",Verbal Noun,新聞の解説欄を読みました。,I read the comment column in the newspaper.,http://jisho.org/search/%E8%A7%A3%E8%AA%AC
2841,社説,しゃせつ,editorial,Noun,この新聞の社説は面白いね。,The editorial in this newspaper is interesting.,http://jisho.org/search/%E7%A4%BE%E8%AA%AC
2842,学説,がくせつ,theory,Noun,それは最新の学説ね。,It is the latest theory.,http://jisho.org/search/%E5%AD%A6%E8%AA%AC
2843,公式,こうしき,"formal, official",Adjectival Noun,今後の方針が公式に発表されました。,The future policy was officially announced.,http://jisho.org/search/%E5%85%AC%E5%BC%8F
2844,公共,こうきょう,"public society, community",Noun,公共の乗り物は誰でも利用できます。,Public transport is available to everyone.,http://jisho.org/search/%E5%85%AC%E5%85%B1
2845,シーツ,シーツ,sheet,Noun,メイドがシーツを交換してくれたね。,The maid changed the sheets.,http://jisho.org/search/%E3%82%B7%E3%83%BC%E3%83%84
2846,公平,こうへい,"impartiality, fairness",Adjectival Noun,賞金をもらったら公平に分けましょう。,"If we win the prize, let's share it equally.",http://jisho.org/search/%E5%85%AC%E5%B9%B3
2847,公立,こうりつ,public,Noun,駅前に公立の図書館があるよ。,There is a public library opposite the station.,http://jisho.org/search/%E5%85%AC%E7%AB%8B
2848,学園,がくえん,educational institution; campus,Noun,彼女は郊外の学園に通っているね。,She goes to a school in the suburbs.,http://jisho.org/search/%E5%AD%A6%E5%9C%92
2849,祭日,さいじつ,"national holiday, festival day",Noun,うちの会社は祭日は休みです。,"At our company, we get national holidays off.",http://jisho.org/search/%E7%A5%AD%E6%97%A5
2850,国際的,こくさいてき,international,Adjective,彼女は国際的に有名な歌手です。,She is an internationally famous singer.,http://jisho.org/search/%E5%9B%BD%E9%9A%9B%E7%9A%84
2851,国際化,こくさいか,internationalization,Verbal Noun,この大学も国際化してきたな。,This university has internationalized.,http://jisho.org/search/%E5%9B%BD%E9%9A%9B%E5%8C%96
2852,交際,こうさい,"association, friendship",Verbal Noun,彼はモデルと交際していたんだ。,He was going out with a model.,http://jisho.org/search/%E4%BA%A4%E9%9A%9B
2853,かかる,かかる,catch; get (an illness),Verb,彼女はインフルエンザにかかっていますね。,She has come down with the flu.,http://jisho.org/search/%E3%81%8B%E3%81%8B%E3%82%8B
2854,際,さい,"occasion, time",Noun,この際はっきり言っておきます。,It's a good opportunity to speak frankly.,http://jisho.org/search/%E9%9A%9B
2855,航空,こうくう,aviation; flying,Noun,会議で航空の安全について話し合ったの。,Airline safety was discussed at the conference.,http://jisho.org/search/%E8%88%AA%E7%A9%BA
2856,航空機,こうくうき,"aircraft, airplane",Noun,去年は航空機の事故が多かった。,There were a lot of aircraft accidents last year.,http://jisho.org/search/%E8%88%AA%E7%A9%BA%E6%A9%9F
2857,航空券,こうくうけん,airline ticket,Noun,電話で航空券を予約しました。,I booked an airline ticket by phone.,http://jisho.org/search/%E8%88%AA%E7%A9%BA%E5%88%B8
2858,完全,かんぜん,"perfect, complete",Adjectival Noun,この古い寺院は今でも完全な形を保っているんだ。,This old Buddhist temple still maintains its complete form.,http://jisho.org/search/%E5%AE%8C%E5%85%A8
2859,成長,せいちょう,growth,Verbal Noun,庭の木、大きく成長したわね。,The tree in the garden has grown a lot.,http://jisho.org/search/%E6%88%90%E9%95%B7
2860,成立,せいりつ,establishment; coming into existence,Verbal Noun,あの会社との契約が成立しました。,We concluded a contract with that company.,http://jisho.org/search/%E6%88%90%E7%AB%8B
2861,形成,けいせい,formation,Verbal Noun,今は骨が形成される大切な時期です。,This is an important period in life when bones are being formed.,http://jisho.org/search/%E5%BD%A2%E6%88%90
2862,コック,コック,"cook, chef",Noun,彼は腕のいいコックです。,He is a good cook.,http://jisho.org/search/%E3%82%B3%E3%83%83%E3%82%AF
2863,結成,けっせい,formation; combination,Verbal Noun,新しい代表チームが結成されました。,The new representative team was formed.,http://jisho.org/search/%E7%B5%90%E6%88%90
2864,成果,せいか,"result, fruit",Noun,厳しい練習が良い成果に結び付きました。,Intense training leads to good results.,http://jisho.org/search/%E6%88%90%E6%9E%9C
2865,賛成,さんせい,"approval, agreement",Verbal Noun,私は彼の意見に賛成だ。,I agree with his opinion.,http://jisho.org/search/%E8%B3%9B%E6%88%90
2866,合成,ごうせい,"composition, synthesis",Verbal Noun,このソフトで画像を合成できます。,Images can be synthesized with this software.,http://jisho.org/search/%E5%90%88%E6%88%90
2867,成人,せいじん,"adult, grownup",Verbal Noun,娘が今年成人します。,My daughter comes of age this year.,http://jisho.org/search/%E6%88%90%E4%BA%BA
2868,成年,せいねん,adult age,Noun,成年になると独立した戸籍を作れます。,An individual family register can be made when you become an adult.,http://jisho.org/search/%E6%88%90%E5%B9%B4
2869,失う,うしなう,"lose, miss",Verb,彼は地震で親を失いました。,He lost his parents due to the earthquake.,http://jisho.org/search/%E5%A4%B1%E3%81%86
2870,えび,えび,"lobster, shrimp",Noun,私はえびのてんぷらが好きです。,I like shrimp tempura.,http://jisho.org/search/%E3%81%88%E3%81%B3
2871,失業,しつぎょう,"unemployment, loss of job",Verbal Noun,友達のお父さんが突然失業したの。,My friend's father suddenly lost his job.,http://jisho.org/search/%E5%A4%B1%E6%A5%AD
2872,失敗,しっぱい,"failure, mistake",Verbal Noun,一度の失敗であきらめてはいけないよ。,You must not give up after one setback.,http://jisho.org/search/%E5%A4%B1%E6%95%97
2873,勝敗,しょうはい,victory or defeat,Noun,このセットで勝敗が決まります。,Victory or defeat will be decided in this set.,http://jisho.org/search/%E5%8B%9D%E6%95%97
2874,原則,げんそく,"principle, general rule",Noun,原則としてキャンセルできません。,"As a general rule, cancellations can't be accepted.",http://jisho.org/search/%E5%8E%9F%E5%89%87
2875,原料,げんりょう,raw material,Noun,石油はいろいろな製品の原料になります。,Petroleum is the raw material for various products.,http://jisho.org/search/%E5%8E%9F%E6%96%99
2876,原理,げんり,"principle, theory",Noun,見学者に機械の動く原理を説明しました。,I explained the mechanism of the machine to the visitor.,http://jisho.org/search/%E5%8E%9F%E7%90%86
2877,原子力,げんしりょく,"atomic energy, nuclear power",Noun,原子力の安全な利用について考えましょう。,Let's think about the safe use of nuclear power.,http://jisho.org/search/%E5%8E%9F%E5%AD%90%E5%8A%9B
2878,グリーン,グリーン,green,Noun,そのグリーンのスカーフ、素敵ですね。,"That green scarf is lovely, isn't it?",http://jisho.org/search/%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3
2879,高原,こうげん,"plateau, highland",Noun,高原には気持ちのいい風が吹いていたよ。,A pleasant breeze blew across the plateau.,http://jisho.org/search/%E9%AB%98%E5%8E%9F
2880,資料,しりょう,materials; data; document,Noun,図書館で資料を借りて来ました。,I borrowed some materials from the library.,http://jisho.org/search/%E8%B3%87%E6%96%99
2881,資産,しさん,"property, assets",Noun,大臣の資産が公表されたね。,The minister's assets were made public.,http://jisho.org/search/%E8%B3%87%E7%94%A3
2882,資格,しかく,"qualifications, competence",Noun,日本語を教える資格を取りたいです。,I want to get a license to teach Japanese.,http://jisho.org/search/%E8%B3%87%E6%A0%BC
2883,資本主義,しほんしゅぎ,capitalism,Noun,その国は次第に資本主義になったわね。,The country gradually became capitalist.,http://jisho.org/search/%E8%B3%87%E6%9C%AC%E4%B8%BB%E7%BE%A9
2884,資源,しげん,resources,Noun,地球の資源を守りましょう。,Let's protect the earth's resources.,http://jisho.org/search/%E8%B3%87%E6%BA%90
2885,願書,がんしょ,application form,Noun,今日大学に願書を送りました。,Today I sent an application form to the college.,http://jisho.org/search/%E9%A1%98%E6%9B%B8
2886,正式,せいしき,"formal, official",Adjectival Noun,正式な招待状を受け取りました。,I received a formal invitation.,http://jisho.org/search/%E6%AD%A3%E5%BC%8F
2887,ジーパン,ジーパン,jeans,Noun,彼はいつもジーパンをはいているね。,He always wears jeans.,http://jisho.org/search/%E3%82%B8%E3%83%BC%E3%83%91%E3%83%B3
2888,正面,しょうめん,"front, face",Noun,その家の正面には大きなバルコニーがあるの。,There is a large balcony at the front of the house.,http://jisho.org/search/%E6%AD%A3%E9%9D%A2
2889,正午,しょうご,"noon, noontime",Noun,昼休みは正午からです。,The lunch break is from noon.,http://jisho.org/search/%E6%AD%A3%E5%8D%88
2890,正義,せいぎ,"justice, righteousness",Noun,この世に正義はないのだろうか。,Is there no justice in this world?,http://jisho.org/search/%E6%AD%A3%E7%BE%A9
2891,正門,せいもん,"main gate, main entrance",Noun,受験生は正門から入って下さい。,Test-takers must enter from the front gate.,http://jisho.org/search/%E6%AD%A3%E9%96%80
2892,正解,せいかい,"right answer, correct solution",Verbal Noun,10問中9問正解しました。,Nine out of ten questions were answered correctly.,http://jisho.org/search/%E6%AD%A3%E8%A7%A3
2893,正方形,せいほうけい,square,Noun,正方形の紙を用意しましょう。,Prepare a square of paper.,http://jisho.org/search/%E6%AD%A3%E6%96%B9%E5%BD%A2
2894,正,せい,true; regular; original,Noun,書類は正と副の2通あります。,The document consists of the original and a copy.,http://jisho.org/search/%E6%AD%A3
2895,ジャーナリズム,ジャーナリズム,journalism,Noun,彼はジャーナリズムを専攻している。,He majors in journalism.,http://jisho.org/search/%E3%82%B8%E3%83%A3%E3%83%BC%E3%83%8A%E3%83%AA%E3%82%BA%E3%83%A0
2896,正座,せいざ,sitting upright with legs folded under one,Verbal Noun,彼はきちんと正座して待っていたね。,"He waited while sitting properly on the floor, Japanese style.",http://jisho.org/search/%E6%AD%A3%E5%BA%A7
2897,正当,せいとう,"just, legal",Adjectival Noun,これは正当な要求です。,This is a fair claim.,http://jisho.org/search/%E6%AD%A3%E5%BD%93
2898,異性,いせい,opposite sex,Noun,息子はもう異性を意識している。,My son is already aware of the opposite sex.,http://jisho.org/search/%E7%95%B0%E6%80%A7
2899,異常,いじょう,"extraordinary, exceptional",Adjectival Noun,今年の夏は異常な暑さですね。,This summer is exceptionally hot.,http://jisho.org/search/%E7%95%B0%E5%B8%B8
2900,正常,せいじょう,"normality, normalcy",Adjectival Noun,患者の呼吸は正常です。,The patient's breathing is normal.,http://jisho.org/search/%E6%AD%A3%E5%B8%B8
2901,意識,いしき,"consciousness, awareness",Verbal Noun,彼は意識を失いました。,He lost consciousness.,http://jisho.org/search/%E6%84%8F%E8%AD%98
2902,常識,じょうしき,"common sense, common knowledge",Noun,そんなの常識だよ。,That is common sense.,http://jisho.org/search/%E5%B8%B8%E8%AD%98
2903,スピーチ,スピーチ,speech,Noun,彼のスピーチは素晴らしかった。,His speech was excellent.,http://jisho.org/search/%E3%82%B9%E3%83%94%E3%83%BC%E3%83%81
2904,調べ,しらべ,"investigation, inquiry",Noun,警察の調べで女性の身元がわかりました。,An investigation by the police uncovered the woman's identity.,http://jisho.org/search/%E8%AA%BF%E3%81%B9
2905,好調,こうちょう,favorable condition,Adjectival Noun,今月はエアコンの売り上げが好調です。,Sales of air conditioners are good this month.,http://jisho.org/search/%E5%A5%BD%E8%AA%BF
2906,下調べ,したしらべ,"preliminary investigation, preparation",Verbal Noun,まず第一に、しっかり下調べをしなさい。,"First of all, be sure to make a careful preliminary investigation.",http://jisho.org/search/%E4%B8%8B%E8%AA%BF%E3%81%B9
2907,整備,せいび,"maintenance, servicing",Verbal Noun,車は整備に出しています。,I've put my car in for maintenance.,http://jisho.org/search/%E6%95%B4%E5%82%99
2908,整理,せいり,sorting; arrangement; organization,Verbal Noun,古い服を整理しました。,I sorted out the old clothes.,http://jisho.org/search/%E6%95%B4%E7%90%86
2909,節約,せつやく,"economizing, saving",Verbal Noun,電気や水を節約しましょう。,Let's save electricity and water.,http://jisho.org/search/%E7%AF%80%E7%B4%84
2910,検査,けんさ,"inspection, examination",Verbal Noun,私は今日、目の検査を受けます。,I will have an eye examination today.,http://jisho.org/search/%E6%A4%9C%E6%9F%BB
2911,ああ,ああ,that kind of,Adverb,ああうるさい人は苦手です。,I don't like loud people like that.,http://jisho.org/search/%E3%81%82%E3%81%82
2912,案,あん,"plan, proposal",Noun,もっと案を出し合いましょう。,Let's share more ideas.,http://jisho.org/search/%E6%A1%88
2913,案外,あんがい,unexpectedly,Adverb,彼は案外いい人かも知れない。,He may unexpectedly turn out to be a good person.,http://jisho.org/search/%E6%A1%88%E5%A4%96
2914,案の定,あんのじょう,just as thought; as usual,Adverb,案の定、彼は遅刻したな。,"Just as I thought, he was late.",http://jisho.org/search/%E6%A1%88%E3%81%AE%E5%AE%9A
2915,国連,こくれん,United Nations,Noun,国連の本部はニューヨークにあります。,The headquarters of the United Nations is in New York.,http://jisho.org/search/%E5%9B%BD%E9%80%A3
2916,接続,せつぞく,"connection, joining",Verbal Noun,コンピューターをネットワークに接続しました。,The computer was connected with the network.,http://jisho.org/search/%E6%8E%A5%E7%B6%9A
2917,外相,がいしょう,Minister of Foreign Affairs,Noun,外相は来週訪米の予定です。,The Foreign Minister is scheduled to visit the United States next week.,http://jisho.org/search/%E5%A4%96%E7%9B%B8
2918,真相,しんそう,the truth,Noun,最近、事件の真相が明らかになったよ。,Recently the truth of the case has been revealed.,http://jisho.org/search/%E7%9C%9F%E7%9B%B8
2919,相変わらず,あいかわらず,"as usual, as before",Adverb,彼は相変わらず忙しいですね。,He is busy as usual.,http://jisho.org/search/%E7%9B%B8%E5%A4%89%E3%82%8F%E3%82%89%E3%81%9A
2920,アクセント,アクセント,"accent, stress",Noun,アメリカ英語とイギリス英語ではアクセントが違うことがあるね。,There can be a difference in stress between American and British English.,http://jisho.org/search/%E3%82%A2%E3%82%AF%E3%82%BB%E3%83%B3%E3%83%88
2921,雑談,ざつだん,"chat, idle talk",Verbal Noun,その先生はいつも授業の前に雑談をするの。,The teacher always chats before the class.,http://jisho.org/search/%E9%9B%91%E8%AB%87
2922,記事,きじ,"article, news story",Noun,環境問題に関する記事を読んだの。,I read an article on environmental issues.,http://jisho.org/search/%E8%A8%98%E4%BA%8B
2923,記号,きごう,"symbol, sign",Noun,地図にはいろいろな記号が使われているのね。,A variety of symbols are used on maps.,http://jisho.org/search/%E8%A8%98%E5%8F%B7
2924,記入,きにゅう,"entry, filling in of forms",Verbal Noun,こちらにお名前をご記入ください。,Please fill in your name here.,http://jisho.org/search/%E8%A8%98%E5%85%A5
2925,暗記,あんき,memorization,Verbal Noun,試験の前に英文を暗記したんだ。,I memorized the English text before the examination.,http://jisho.org/search/%E6%9A%97%E8%A8%98
2926,記憶,きおく,"memory, recollection",Verbal Noun,当時のことはしっかり記憶しているよ。,I clearly remember what happened at that time.,http://jisho.org/search/%E8%A8%98%E6%86%B6
2927,関心,かんしん,"concern, interest",Noun,彼は政治に関心が強いね。,He has a strong interest in politics.,http://jisho.org/search/%E9%96%A2%E5%BF%83
2928,コマーシャル,コマーシャル,"commercial, advertising",Noun,彼女はテレビのコマーシャルに出ているわ。,She is appearing in a TV commercial.,http://jisho.org/search/%E3%82%B3%E3%83%9E%E3%83%BC%E3%82%B7%E3%83%A3%E3%83%AB
2929,税関,ぜいかん,"custom house, customs",Noun,毛皮を税関で没収されたんだ。,The fur was seized at customs.,http://jisho.org/search/%E7%A8%8E%E9%96%A2
2930,関節,かんせつ,"joint (knee joint, elbow joint, etc.)",Noun,手首の関節をひねっちゃった。,I have twisted my wrist joint.,http://jisho.org/search/%E9%96%A2%E7%AF%80
2931,関わる,かかわる,"involve, concern",Verb,医師は人の命に関わる大切な職業だよ。,"A doctor's job is very important, as people's lives depend on it.",http://jisho.org/search/%E9%96%A2%E3%82%8F%E3%82%8B
2932,機関,きかん,engine; organisation,Noun,台風で交通機関がストップしている。,Transportation has stopped because of the typhoon.,http://jisho.org/search/%E6%A9%9F%E9%96%A2
2933,係,かかり,person in charge,Noun,彼女は会場整理の係だったの。,She was in charge of the hall arrangement.,http://jisho.org/search/%E4%BF%82
2934,現状,げんじょう,present condition,Noun,問題を解決できないのが現状です。,The current situation is that we can't solve the problem.,http://jisho.org/search/%E7%8F%BE%E7%8A%B6
2935,事態,じたい,"situation, state of affairs",Noun,事態は深刻です。,The situation is serious.,http://jisho.org/search/%E4%BA%8B%E6%85%8B
2936,しつこい,しつこい,persistent,Adjective,しつこい迷惑メールに困っている。,I am having trouble with persistent junk mail.,http://jisho.org/search/%E3%81%97%E3%81%A4%E3%81%93%E3%81%84
2937,実態,じったい,"the actual situation, the realities",Noun,その会社の経営の実態を調査中だ。,The state of that company's management is being investigated.,http://jisho.org/search/%E5%AE%9F%E6%85%8B
2938,行政,ぎょうせい,administration,Noun,年金問題は行政の最大の課題のひとつよ。,The pension problem is one of the current administration's biggest issues.,http://jisho.org/search/%E8%A1%8C%E6%94%BF
2939,政治家,せいじか,politician,Noun,大きくなったら政治家になりたいです。,I want to become a politician when I grow up.,http://jisho.org/search/%E6%94%BF%E6%B2%BB%E5%AE%B6
2940,治まる,おさまる,"settle down, be cured",Verb,咳が少し治まりました。,My cough is a little better.,http://jisho.org/search/%E6%B2%BB%E3%81%BE%E3%82%8B
2941,政党,せいとう,political party,Noun,選挙では3つの政党が争っています。,Three political parties are competing in the election.,http://jisho.org/search/%E6%94%BF%E5%85%9A
2942,策,さく,"scheme, policy",Noun,その問題に対する策を皆で考えたの。,We all thought about measures to address the problem.,http://jisho.org/search/%E7%AD%96
2943,挙げる,あげる,"cite, give (an example)",Verb,例を幾つか挙げてみましょう。,Let's give some examples.,http://jisho.org/search/%E6%8C%99%E3%81%92%E3%82%8B
2944,気候,きこう,climate,Noun,日本の気候は温暖です。,The climate in Japan is temperate.,http://jisho.org/search/%E6%B0%97%E5%80%99
2945,しゃがむ,しゃがむ,squat down,Verb,お年寄りが道端にしゃがんでいますね。,An old person is squatting down on the side of the road.,http://jisho.org/search/%E3%81%97%E3%82%83%E3%81%8C%E3%82%80
2946,補う,おぎなう,supplement (compensate for); replenish,Verb,夏は水分を十分に補いましょう。,Make sure you take enough liquids in the summer.,http://jisho.org/search/%E8%A3%9C%E3%81%86
2947,足首,あしくび,ankle,Noun,彼は足首を痛めています。,He has hurt his ankle.,http://jisho.org/search/%E8%B6%B3%E9%A6%96
2948,首脳,しゅのう,leader,Noun,東京で五カ国の首脳会談が開かれています。,A five-country summit is being held in Tokyo.,http://jisho.org/search/%E9%A6%96%E8%84%B3
2949,頭,かしら,"head, chief",Noun,彼は一家のお頭だったの。,He was the head of the family.,http://jisho.org/search/%E9%A0%AD
2950,頭痛,ずつう,headache,Noun,今日は頭痛がします。,I have a headache today.,http://jisho.org/search/%E9%A0%AD%E7%97%9B
2951,顔色,かおいろ,"complexion, expression",Noun,彼は顔色がよくありませんね。,His face looks pale.,http://jisho.org/search/%E9%A1%94%E8%89%B2
2952,朝顔,あさがお,morning glory,Noun,紫の朝顔が咲きました。,A purple morning-glory bloomed.,http://jisho.org/search/%E6%9C%9D%E9%A1%94
2953,コンテスト,コンテスト,contest,Noun,このコンテストに優勝すると車がもらえるんだ。,If you win this contest you can get a car.,http://jisho.org/search/%E3%82%B3%E3%83%B3%E3%83%86%E3%82%B9%E3%83%88
2954,改正,かいせい,"revision, amendment",Verbal Noun,近く交通法が改正されます。,Traffic regulations will soon be revised.,http://jisho.org/search/%E6%94%B9%E6%AD%A3
2955,改良,かいりょう,"improvement, reform",Verbal Noun,日本では絶えず米の品種を改良しているの。,Varieties of rice are always being improved in Japan.,http://jisho.org/search/%E6%94%B9%E8%89%AF
2956,改める,あらためる,"reform, change",Verb,彼は悪い習慣を改めようとしているわね。,He's trying to change his bad habits.,http://jisho.org/search/%E6%94%B9%E3%82%81%E3%82%8B
2957,改造,かいぞう,"remodeling, reorganization",Verbal Noun,首相は内閣の改造を行いました。,The Prime Minister reshuffled the Cabinet.,http://jisho.org/search/%E6%94%B9%E9%80%A0
2958,改めて,あらためて,once again,Adverb,改めてあなたのご意見を聞かせて下さい。,Please let me hear your opinion again.,http://jisho.org/search/%E6%94%B9%E3%82%81%E3%81%A6
2959,改まる,あらたまる,"be renewed, change",Verb,年号が改まりました。,The name of the era has changed.,http://jisho.org/search/%E6%94%B9%E3%81%BE%E3%82%8B
2960,革命,かくめい,revolution,Noun,それは歴史上の大きな革命です。,That is a major revolution in history.,http://jisho.org/search/%E9%9D%A9%E5%91%BD
2961,キャベツ,キャベツ,cabbage,Noun,キャベツの千切りを添えたよ。,I garnished it with shredded cabbage.,http://jisho.org/search/%E3%82%AD%E3%83%A3%E3%83%99%E3%83%84
2962,生命,せいめい,life,Noun,生命は海から始まったと言われている。,It is said that life started in the sea.,http://jisho.org/search/%E7%94%9F%E5%91%BD
2963,命,いのち,life,Noun,命より大切なものは無いよ。,There is nothing more important than life.,http://jisho.org/search/%E5%91%BD
2964,運命,うんめい,fate,Noun,運命には逆らえないよ。,You can't go against fate.,http://jisho.org/search/%E9%81%8B%E5%91%BD
2965,組合,くみあい,"union, guild",Noun,今日は組合の集まりがあるわ。,There is a union meeting today.,http://jisho.org/search/%E7%B5%84%E5%90%88
2966,仕組み,しくみ,structure; mechanism,Noun,この機械の仕組みは複雑だ。,The mechanism of this machine is complex.,http://jisho.org/search/%E4%BB%95%E7%B5%84%E3%81%BF
2967,組,くみ,school class; group of people,Noun,彼は1年2組の生徒です。,"He's a student in first grade, second class.",http://jisho.org/search/%E7%B5%84
2968,組む,くむ,"pair up, partner with",Verb,このプロジェクトで私は彼と組んでいるんだ。,I am pairing up with him for this project.,http://jisho.org/search/%E7%B5%84%E3%82%80
2969,組み合わせる,くみあわせる,to join together; to combine,Verb,いろいろな花を組み合わせ花束を作りました。,I put many kinds of flowers together to make a bouquet.,http://jisho.org/search/%E7%B5%84%E3%81%BF%E5%90%88%E3%82%8F%E3%81%9B%E3%82%8B
2970,アイドル,アイドル,"idol, pop singer",Noun,彼女は若者のアイドルです。,She is a youth icon.,http://jisho.org/search/%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB
2971,組み込む,くみこむ,"incorporate, insert",Verb,キャンペーンに新しいイベントを組み込みました。,We introduced a new event into the campaign.,http://jisho.org/search/%E7%B5%84%E3%81%BF%E8%BE%BC%E3%82%80
2972,組み合わせ,くみあわせ,combination,Noun,色の組み合わせで印象が変わりますよ。,The image changes according to the combination of colors.,http://jisho.org/search/%E7%B5%84%E3%81%BF%E5%90%88%E3%82%8F%E3%81%9B
2973,織物,おりもの,"cloth, textile",Noun,その町は織物業で有名です。,The town is famous for the textile industry.,http://jisho.org/search/%E7%B9%94%E7%89%A9
2974,進出,しんしゅつ,advancement,Verbal Noun,大手チェーン店が進出している。,That major store chain is expanding.,http://jisho.org/search/%E9%80%B2%E5%87%BA
2975,進行,しんこう,advancement,Verbal Noun,学会は予定通りに進行しています。,The academic conference is proceeding as scheduled.,http://jisho.org/search/%E9%80%B2%E8%A1%8C
2976,進歩,しんぽ,"progress, advancement",Verbal Noun,科学技術は目覚しく進歩しているの。,Science and technology have advanced remarkably.,http://jisho.org/search/%E9%80%B2%E6%AD%A9
